period,series_id,turnover
1982-09-01,A3348636C,341.9
1982-10-01,A3348636C,358.4
1982-11-01,A3348636C,374.7
1982-12-01,A3348636C,433.1
1983-01-01,A3348636C,368.6
1983-02-01,A3348636C,348.1
1983-03-01,A3348636C,365.8
1983-04-01,A3348636C,351.1
1983-05-01,A3348636C,360.5
1983-06-01,A3348636C,347.1
1983-07-01,A3348636C,364.5
1983-08-01,A3348636C,376.0
1983-09-01,A3348636C,377.6
1983-10-01,A3348636C,374.1
1983-11-01,A3348636C,390.6
1983-12-01,A3348636C,459.0
1984-01-01,A3348636C,388.8
1984-02-01,A3348636C,377.1
1984-03-01,A3348636C,397.8
1984-04-01,A3348636C,383.3
1984-05-01,A3348636C,414.0
1984-06-01,A3348636C,381.5
1984-07-01,A3348636C,393.0
1984-08-01,A3348636C,409.0
1984-09-01,A3348636C,394.7
1984-10-01,A3348636C,424.5
1984-11-01,A3348636C,436.5
1984-12-01,A3348636C,488.1
1985-01-01,A3348636C,425.6
1985-02-01,A3348636C,391.8
1985-03-01,A3348636C,416.1
1985-04-01,A3348636C,419.8
1985-05-01,A3348636C,446.2
1985-06-01,A3348636C,406.8
1985-07-01,A3348636C,448.5
1985-08-01,A3348636C,466.0
1985-09-01,A3348636C,455.2
1985-10-01,A3348636C,493.6
1985-11-01,A3348636C,505.6
1985-12-01,A3348636C,563.9
1986-01-01,A3348636C,504.3
1986-02-01,A3348636C,452.9
1986-03-01,A3348636C,480.3
1986-04-01,A3348636C,497.2
1986-05-01,A3348636C,530.8
1986-06-01,A3348636C,484.8
1986-07-01,A3348636C,526.3
1986-08-01,A3348636C,538.4
1986-09-01,A3348636C,537.4
1986-10-01,A3348636C,570.4
1986-11-01,A3348636C,563.8
1986-12-01,A3348636C,663.2
1987-01-01,A3348636C,571.6
1987-02-01,A3348636C,525.1
1987-03-01,A3348636C,543.6
1987-04-01,A3348636C,558.1
1987-05-01,A3348636C,565.1
1987-06-01,A3348636C,542.3
1987-07-01,A3348636C,598.6
1987-08-01,A3348636C,583.7
1987-09-01,A3348636C,592.7
1987-10-01,A3348636C,623.3
1987-11-01,A3348636C,621.9
1987-12-01,A3348636C,739.8
1988-01-01,A3348636C,605.0
1988-02-01,A3348636C,586.1
1988-03-01,A3348636C,625.3
1988-04-01,A3348636C,611.9
1988-05-01,A3348636C,630.5
1988-06-01,A3348636C,635.5
1988-07-01,A3348636C,658.7
1988-08-01,A3348636C,656.4
1988-09-01,A3348636C,660.0
1988-10-01,A3348636C,670.2
